epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,2179.93,1.70981,1.70765,1.62318,0.51124,0.38245,0.36046,0.16412,2.06098,1.99855,1.94351,0.000926093,0.000926093,0.000926093
63,2214.92,1.68253,1.68132,1.62532,0.54595,0.35992,0.36771,0.16805,2.04443,1.93669,1.94513,0.000911867,0.000911867,0.000911867
64,2250.19,1.68901,1.66497,1.61258,0.5258,0.3663,0.36432,0.16198,2.05382,1.99438,1.94034,0.000897557,0.000897557,0.000897557
65,2285.74,1.68474,1.66154,1.6072,0.48181,0.38198,0.35524,0.16195,2.04859,1.98801,1.94987,0.00088317,0.00088317,0.00088317
66,2320.82,1.65059,1.62156,1.58687,0.50605,0.37503,0.35154,0.16263,2.03564,1.9461,1.94057,0.000868712,0.000868712,0.000868712
67,2356,1.66795,1.64458,1.5996,0.51896,0.37768,0.36624,0.16242,2.04605,1.95664,1.94189,0.00085419,0.00085419,0.00085419
68,2391.09,1.64209,1.58994,1.58717,0.52725,0.37101,0.36469,0.16426,2.06404,1.9515,1.9646,0.00083961,0.00083961,0.00083961
69,2426.52,1.65831,1.59207,1.57948,0.47636,0.38239,0.36695,0.1641,2.0469,1.9521,1.94631,0.000824978,0.000824978,0.000824978
70,2461.92,1.62493,1.57141,1.56919,0.5756,0.34344,0.37992,0.17054,2.02197,1.93824,1.92702,0.0008103,0.0008103,0.0008103
71,2497.06,1.6421,1.60339,1.58673,0.52735,0.3737,0.364,0.16903,2.04538,1.96835,1.95003,0.000795584,0.000795584,0.000795584
72,2532.51,1.61033,1.55724,1.56746,0.55758,0.3853,0.38505,0.18008,2.04679,1.90742,1.95034,0.000780835,0.000780835,0.000780835
73,2567.59,1.6314,1.51829,1.55288,0.52495,0.37147,0.3821,0.17488,2.04678,1.92243,1.92762,0.00076606,0.00076606,0.00076606
74,2602.57,1.58903,1.50868,1.5377,0.51084,0.38392,0.38104,0.17599,2.02617,1.86957,1.93143,0.000751266,0.000751266,0.000751266
75,2637.51,1.60867,1.52763,1.55497,0.48698,0.39843,0.37882,0.17418,2.02495,1.89409,1.90841,0.000736459,0.000736459,0.000736459
76,2672.42,1.57579,1.50266,1.52428,0.50589,0.3889,0.38632,0.17891,2.01661,1.87359,1.91433,0.000721645,0.000721645,0.000721645
77,2707.39,1.58008,1.48348,1.52784,0.53512,0.37012,0.38592,0.17803,2.01661,1.89265,1.93137,0.000706831,0.000706831,0.000706831
78,2742.31,1.56907,1.47876,1.52503,0.52835,0.38645,0.37805,0.18301,2.00084,1.87703,1.90957,0.000692024,0.000692024,0.000692024
79,2777.39,1.54315,1.4337,1.50451,0.53218,0.3919,0.39329,0.18783,1.98106,1.84344,1.89537,0.00067723,0.00067723,0.00067723
80,2812.46,1.5383,1.43128,1.50685,0.53806,0.37966,0.3758,0.17223,2.03028,1.89428,1.96262,0.000662455,0.000662455,0.000662455
81,2847.53,1.5296,1.40571,1.49761,0.54598,0.39425,0.3933,0.18294,2.0119,1.85349,1.9233,0.000647706,0.000647706,0.000647706
82,2882.55,1.52795,1.40425,1.49029,0.53521,0.37604,0.38462,0.18463,2.01535,1.85091,1.93671,0.00063299,0.00063299,0.00063299
83,2917.71,1.52704,1.39754,1.48508,0.57681,0.3779,0.39316,0.18515,2.0048,1.82483,1.93183,0.000618312,0.000618312,0.000618312
84,2952.17,1.51442,1.39495,1.48858,0.59285,0.37371,0.39398,0.1876,2.01212,1.83563,1.91865,0.00060368,0.00060368,0.00060368
85,2985.75,1.50831,1.38979,1.49214,0.57825,0.38329,0.40171,0.19254,1.99874,1.82657,1.91697,0.0005891,0.0005891,0.0005891
86,3021.67,1.48552,1.35994,1.45974,0.6073,0.38258,0.40808,0.19467,1.97835,1.80088,1.88436,0.000574578,0.000574578,0.000574578
